authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,moderationStatus,text
keowx,https://yt3.ggpht.com/-ND_EwGjTv40/AAAAAAAAAAI/AAAAAAAAAAA/cM5mafA0AG8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCVXDBTalu-bPzg20X-IFOqA,UCVXDBTalu-bPzg20X-IFOqA,o_nfdzMhmrA,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟,TRUE,none,0,2018-01-25T07:35:34.000Z,2018-01-25T07:35:34.000Z,NA,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟
Howling Burd19,https://yt3.ggpht.com/-nhzNpo08TLU/AAAAAAAAAAI/AAAAAAAAAAA/RW3ZnD-p8rc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCOtbrQjdKi9IINhgIorwfaw,UCOtbrQjdKi9IINhgIorwfaw,o_nfdzMhmrA,"The worst part about this movie is how it actually made a lot of money! Humanity, what the f*ck is wrong with you!","The worst part about this movie is how it actually made a lot of money! Humanity, what the f*ck is wrong with you!",TRUE,none,0,2018-01-24T12:22:13.000Z,2018-01-24T12:22:13.000Z,NA,"The worst part about this movie is how it actually made a lot of money! Humanity, what the f*ck is wrong with you!"
Slushi30 Aj,https://yt3.ggpht.com/-ER-b10Mr4GM/AAAAAAAAAAI/AAAAAAAAAAA/NGhIMEDjNT0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCAO91QAwbJWxnz5cCkHJBhg,UCAO91QAwbJWxnz5cCkHJBhg,o_nfdzMhmrA,👎👎👎,👎👎👎,TRUE,none,1,2018-01-24T01:23:28.000Z,2018-01-24T01:23:28.000Z,NA,👎👎👎
G od,https://yt3.ggpht.com/-4hdNqSiIRX0/AAAAAAAAAAI/AAAAAAAAAAA/3qi07cgcQyg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCFiThnRv3E1WOndNjYBy7pg,UCFiThnRv3E1WOndNjYBy7pg,o_nfdzMhmrA,I have left,I have left,TRUE,none,0,2018-01-24T00:29:12.000Z,2018-01-24T00:29:12.000Z,NA,I have left
For One Purpose Only,https://yt3.ggpht.com/-AlLgfDZzIS8/AAAAAAAAAAI/AAAAAAAAAAA/1TwtiZ815ow/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCVAhu7f0Wlg-bZ0KHiZ2-8Q,UCVAhu7f0Wlg-bZ0KHiZ2-8Q,o_nfdzMhmrA,People who say the Last Jedi was horrible don’t know the existence of this movie.,People who say the Last Jedi was horrible don’t know the existence of this movie.,TRUE,none,0,2018-01-23T20:47:06.000Z,2018-01-23T20:47:06.000Z,NA,People who say the Last Jedi was horrible don’t know the existence of this movie.
TEEMRED ###,https://yt3.ggpht.com/-M1OH4eK62Uc/AAAAAAAAAAI/AAAAAAAAAAA/5E2n3MEYf8Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCMmkDXkVdR4P3qC1G5Hdjjw,UCMmkDXkVdR4P3qC1G5Hdjjw,o_nfdzMhmrA,There is never a &quot;wrong emoji&quot;; teenagers always tend to press a random emoji anyways.,"There is never a ""wrong emoji""; teenagers always tend to press a random emoji anyways.",TRUE,none,0,2018-01-23T02:01:26.000Z,2018-01-23T02:01:26.000Z,NA,"There is never a ""wrong emoji""; teenagers always tend to press a random emoji anyways."
Buddy Bro,https://yt3.ggpht.com/-wE-g2ri8Oas/AAAAAAAAAAI/AAAAAAAAAAA/J-HOE89xC8M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCvqySp-Kr3mdld--nTJnsKw,UCvqySp-Kr3mdld--nTJnsKw,o_nfdzMhmrA,The 22k likes are from SONY employees and their bots,The 22k likes are from SONY employees and their bots,TRUE,none,0,2018-01-23T00:00:38.000Z,2018-01-23T00:00:38.000Z,NA,The 22k likes are from SONY employees and their bots
soul_ punkk,https://yt3.ggpht.com/-AK_8sxnGp1Q/AAAAAAAAAAI/AAAAAAAAAAA/YMHFJsSEWYs/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCLXcevWXoi_SkMtHSM2h6gQ,UCLXcevWXoi_SkMtHSM2h6gQ,o_nfdzMhmrA,Wish this could be removed like most cancerous tumors.,Wish this could be removed like most cancerous tumors.,TRUE,none,0,2018-01-22T20:34:59.000Z,2018-01-22T20:34:59.000Z,NA,Wish this could be removed like most cancerous tumors.
Gabers Gamers,https://yt3.ggpht.com/-R-YTAhFfSLU/AAAAAAAAAAI/AAAAAAAAAAA/HrYzAPe_Vzg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC678iceDVHPjpksKSl1MF2Q,UC678iceDVHPjpksKSl1MF2Q,o_nfdzMhmrA,Omg this is my favourite movie ever like this comment and your crush will ask you out,Omg this is my favourite movie ever like this comment and your crush will ask you out,TRUE,none,1,2018-01-22T17:30:56.000Z,2018-01-22T17:30:56.000Z,NA,Omg this is my favourite movie ever like this comment and your crush will ask you out
That One Annoying Person In The Comment Section,https://yt3.ggpht.com/-HenB-5CYrYc/AAAAAAAAAAI/AAAAAAAAAAA/jOhHT88oJxU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC6MslAb82cKGptDXmuNbjvg,UC6MslAb82cKGptDXmuNbjvg,o_nfdzMhmrA,I&#39;d prefer to only be able to watch all of the sharknado movies for the rest of my life than see this even once,I'd prefer to only be able to watch all of the sharknado movies for the rest of my life than see this even once,TRUE,none,0,2018-01-22T02:35:33.000Z,2018-01-22T02:35:33.000Z,NA,I'd prefer to only be able to watch all of the sharknado movies for the rest of my life than see this even once
